step,offered_kBps,ach_kBps,sps16,sps8,sec,frames,bad,seq_gaps,gap_med_ms,gap_p99_ms,gap_max_ms,dropouts,esp_lost,esp_dup,esp_ovf,esp_spydrop,esp_eagain,esp_tmax,esp_dtmax,esp_ring
0,100,100.0,24992,49983,15.0,1440,0,0,10.38,18.03,35.39,0,,,,,,,,
1,200,199.8,49962,99925,15.0,2882,0,0,5.16,9.78,14.78,0,,,,,,,,
2,300,293.9,73474,146948,15.0,4238,0,0,3.44,8.72,299.49,1,,,,,,,,
3,400,399.7,99926,199851,15.0,5764,0,0,2.41,7.02,14.98,0,,,,,,,,
4,500,495.9,123983,247965,15.0,7153,0,0,1.91,6.71,22.0,0,,,,,,,,
5,600,512.0,128004,256007,15.0,7383,0,0,1.79,6.74,26.29,0,,,,,,,,
