step,offered_kBps,ach_kBps,sps16,sps8,sec,frames,bad,seq_gaps,gap_med_ms,gap_p99_ms,gap_max_ms,dropouts,esp_lost,esp_dup,esp_ovf,esp_spydrop,esp_eagain,esp_tmax,esp_dtmax,esp_ring
0,200,199.9,49982,99965,10.0,1921,0,0,5.05,10.22,26.48,0,,,,,,,,
1,400,397.6,99404,198809,10.0,3822,0,0,2.51,7.64,30.55,0,,,,,,,,
2,600,573.8,143444,286888,10.0,5514,0,0,1.64,10.3,24.03,0,,,,,,,,
3,800,604.2,151053,302107,10.0,5808,0,0,1.61,7.01,22.18,0,,,,,,,,
4,1000,616.5,154137,308273,10.0,5927,0,0,1.61,6.44,14.89,0,,,,,,,,
