step,offered_kBps,ach_kBps,sps16,sps8,sec,frames,bad,seq_gaps,gap_med_ms,gap_p99_ms,gap_max_ms,dropouts,esp_lost,esp_dup,esp_ovf,esp_spydrop,esp_eagain,esp_tmax,esp_dtmax,esp_ring
0,200,195.7,48915,97831,10.0,1881,0,0,4.6,25.21,43.2,0,,,,,,,,
1,400,351.7,87918,175836,10.0,3382,0,0,1.72,18.09,40.72,0,,,,,,,,
2,600,293.8,73449,146898,10.0,2828,0,0,1.33,25.47,116.38,4,,,,,,,,
3,800,301.3,75337,150673,10.0,2901,0,0,1.62,22.1,54.0,1,,,,,,,,
4,1000,292.0,73004,146007,10.0,2818,0,0,1.51,21.25,169.68,2,,,,,,,,
